cover,hide_mult,cover_impact,motion_mult,hide_advantage,hide_survival,flee_survival,adaptive_survival,adaptive_advantage,n
low,0.0,0.4,1.0,-73.75,1.5,75.25,16.0,-59.25,10
low,0.0,0.4,1.5,-44.25,1.5,45.75,25.0,-21.0,10
low,0.0,0.4,2.5,-30.5,1.5,32.0,29.25,-2.75,10
low,0.0,0.6,1.0,-66.75,2.0,68.75,18.25,-50.5,10
low,0.0,0.6,1.5,-40.5,2.0,42.5,25.25,-17.25,10
low,0.0,0.6,2.5,-41.5,2.0,43.5,28.5,-15.0,10
low,0.0,0.8,1.0,-72.25,2.0,74.25,21.5,-52.75,10
low,0.0,0.8,1.5,-50.25,2.0,52.25,18.25,-34.0,10
low,0.0,0.8,2.5,-41.5,2.0,43.5,23.75,-19.75,10
low,0.0,1.0,1.0,-81.0,2.25,83.25,18.75,-64.5,10
low,0.0,1.0,1.5,-51.75,2.25,54.0,21.0,-33.0,10
low,0.0,1.0,2.5,-27.25,2.25,29.5,26.0,-3.75,10
low,0.05,0.4,1.0,-74.0,1.25,75.25,18.0,-57.25,10
low,0.05,0.4,1.5,-44.5,1.25,45.75,21.0,-24.75,10
low,0.05,0.4,2.5,-30.75,1.25,32.0,23.25,-8.75,10
low,0.05,0.6,1.0,-67.0,1.75,68.75,19.0,-49.75,10
low,0.05,0.6,1.5,-40.75,1.75,42.5,24.0,-18.5,10
low,0.05,0.6,2.5,-41.75,1.75,43.5,21.75,-21.75,10
low,0.05,0.8,1.0,-72.25,2.0,74.25,20.0,-54.25,10
low,0.05,0.8,1.5,-50.25,2.0,52.25,27.0,-25.25,10
low,0.05,0.8,2.5,-41.5,2.0,43.5,29.0,-14.5,10
low,0.05,1.0,1.0,-80.75,2.5,83.25,27.5,-55.75,10
low,0.05,1.0,1.5,-51.5,2.5,54.0,21.5,-32.5,10
low,0.05,1.0,2.5,-27.0,2.5,29.5,28.5,-1.25,10
low,0.15,0.4,1.0,-74.75,0.5,75.25,17.5,-57.75,10
low,0.15,0.4,1.5,-45.25,0.5,45.75,19.75,-26.0,10
low,0.15,0.4,2.5,-31.5,0.5,32.0,23.25,-8.75,10
low,0.15,0.6,1.0,-67.5,1.25,68.75,19.5,-49.25,10
low,0.15,0.6,1.5,-41.25,1.25,42.5,19.5,-23.0,10
low,0.15,0.6,2.5,-42.25,1.25,43.5,22.0,-21.5,10
low,0.15,0.8,1.0,-73.0,1.25,74.25,24.25,-50.0,10
low,0.15,0.8,1.5,-51.0,1.25,52.25,22.75,-29.5,10
low,0.15,0.8,2.5,-42.25,1.25,43.5,24.0,-19.5,10
low,0.15,1.0,1.0,-81.25,2.0,83.25,30.25,-53.0,10
low,0.15,1.0,1.5,-52.0,2.0,54.0,21.0,-33.0,10
low,0.15,1.0,2.5,-27.5,2.0,29.5,32.25,2.25,10
low,0.3,0.4,1.0,-74.5,0.75,75.25,19.25,-56.0,10
low,0.3,0.4,1.5,-45.0,0.75,45.75,21.75,-24.0,10
low,0.3,0.4,2.5,-31.25,0.75,32.0,25.75,-6.25,10
low,0.3,0.6,1.0,-68.0,0.75,68.75,20.75,-48.0,10
low,0.3,0.6,1.5,-41.75,0.75,42.5,23.25,-19.25,10
low,0.3,0.6,2.5,-42.75,0.75,43.5,21.5,-22.0,10
low,0.3,0.8,1.0,-72.75,1.5,74.25,17.25,-57.0,10
low,0.3,0.8,1.5,-50.75,1.5,52.25,25.25,-27.25,10
low,0.3,0.8,2.5,-42.0,1.5,43.5,21.5,-22.0,10
low,0.3,1.0,1.0,-81.25,2.0,83.25,28.5,-54.75,10
low,0.3,1.0,1.5,-52.0,2.0,54.0,24.0,-30.0,10
low,0.3,1.0,2.5,-27.5,2.0,29.5,27.25,-2.25,10
low,0.5,0.4,1.0,-74.75,0.5,75.25,12.75,-62.5,10
low,0.5,0.4,1.5,-45.25,0.5,45.75,24.5,-21.25,10
low,0.5,0.4,2.5,-31.5,0.5,32.0,21.0,-11.0,10
low,0.5,0.6,1.0,-68.5,0.25,68.75,17.75,-51.0,10
low,0.5,0.6,1.5,-42.25,0.25,42.5,18.5,-24.0,10
low,0.5,0.6,2.5,-43.25,0.25,43.5,18.75,-24.75,10
low,0.5,0.8,1.0,-73.25,1.0,74.25,22.75,-51.5,10
low,0.5,0.8,1.5,-51.25,1.0,52.25,21.5,-30.75,10
low,0.5,0.8,2.5,-42.5,1.0,43.5,27.0,-16.5,10
low,0.5,1.0,1.0,-82.0,1.25,83.25,29.5,-53.75,10
low,0.5,1.0,1.5,-52.75,1.25,54.0,23.25,-30.75,10
low,0.5,1.0,2.5,-28.25,1.25,29.5,25.25,-4.5,10
low,0.75,0.4,1.0,-75.0,0.25,75.25,22.0,-53.25,10
low,0.75,0.4,1.5,-45.5,0.25,45.75,22.25,-23.5,10
low,0.75,0.4,2.5,-31.75,0.25,32.0,22.0,-10.0,10
low,0.75,0.6,1.0,-68.25,0.5,68.75,22.5,-46.25,10
low,0.75,0.6,1.5,-42.0,0.5,42.5,30.0,-12.5,10
low,0.75,0.6,2.5,-43.0,0.5,43.5,27.75,-15.75,10
low,0.75,0.8,1.0,-74.25,0.0,74.25,22.75,-51.5,10
low,0.75,0.8,1.5,-52.25,0.0,52.25,25.5,-26.75,10
low,0.75,0.8,2.5,-43.5,0.0,43.5,27.75,-15.75,10
low,0.75,1.0,1.0,-81.25,2.0,83.25,32.0,-51.25,10
low,0.75,1.0,1.5,-52.0,2.0,54.0,30.0,-24.0,10
low,0.75,1.0,2.5,-27.5,2.0,29.5,28.0,-1.75,10
medium,0.0,0.4,1.0,-66.5,6.25,72.75,16.5,-56.5,10
medium,0.0,0.4,1.5,-43.5,6.25,49.75,19.25,-30.5,10
medium,0.0,0.4,2.5,-22.75,6.25,29.0,19.0,-10.25,10
medium,0.0,0.6,1.0,-71.75,10.25,82.0,20.0,-62.0,10
medium,0.0,0.6,1.5,-57.25,10.25,67.5,16.5,-51.0,10
