ratio,hide_advantage,count
0.143,-42.166666666666664,3
0.167,-42.0,3
0.2,-42.111111111111114,3
0.25,-42.05555555555556,3
0.286,-71.5,3
0.333,-55.69444444444445,6
0.4,-71.1111111111111,3
0.429,-81.66666666666667,3
0.5,-64.88888888888889,9
0.571,-84.77777777777779,3
0.6,-81.3888888888889,3
0.667,-79.33333333333333,6
0.714,-88.1111111111111,3
0.75,-81.27777777777777,3
0.8,-83.5,3
0.833,-85.1111111111111,3
0.857,-85.94444444444446,3
1.0,-77.48412698412699,21
1.167,-66.22222222222223,3
1.2,-61.888888888888886,3
1.25,-57.77777777777778,3
1.333,-59.888888888888886,3
1.4,-39.0,3
1.5,-42.666666666666664,6
1.667,-34.27777777777778,3
1.75,-22.222222222222218,3
2.0,-21.62962962962963,9
2.333,-6.833333333333333,3
2.5,-9.111111111111112,3
3.0,0.861111111111111,6
3.5,3.5,3
4.0,8.111111111111112,3
5.0,5.722222222222222,3
6.0,4.777777777777778,3
7.0,3.8333333333333335,3
