strategy,cover,arrangement,final_population,founder_survival,births,captures,extinct_pct,n
still,low,uniform,0.0,0.0,1.6,41.6,100.0,15
still,low,patchy,0.0,0.0,2.2666666666666666,42.266666666666666,100.0,15
still,low,mixed,0.0,0.0,2.6666666666666665,42.666666666666664,100.0,15
still,medium,uniform,0.0,0.0,2.3333333333333335,42.333333333333336,100.0,15
still,medium,patchy,0.0,0.0,3.6,43.6,100.0,15
still,medium,mixed,0.0,0.0,3.1333333333333333,43.13333333333333,100.0,15
still,high,uniform,0.0,0.0,10.866666666666667,50.86666666666667,100.0,15
still,high,patchy,0.0,0.0,5.2,45.2,100.0,15
still,high,mixed,0.0,0.0,4.6,44.6,100.0,15
hide,low,uniform,0.0,0.0,2.466666666666667,42.46666666666667,100.0,15
hide,low,patchy,0.26666666666666666,0.6666666666666666,2.6,42.333333333333336,73.33333333333333,15
hide,low,mixed,0.0,0.0,2.4,42.4,100.0,15
hide,medium,uniform,0.0,0.0,3.533333333333333,43.53333333333333,100.0,15
hide,medium,patchy,0.13333333333333333,0.3333333333333333,5.933333333333334,45.8,86.66666666666667,15
hide,medium,mixed,0.2,0.5,6.4,46.2,80.0,15
hide,high,uniform,15.533333333333333,6.5,64.66666666666667,89.13333333333334,0.0,15
hide,high,patchy,2.7333333333333334,6.833333333333333,106.2,143.46666666666667,20.0,15
hide,high,mixed,2.1333333333333333,5.333333333333333,65.13333333333334,103.0,0.0,15
flee,low,uniform,249.8,39.0,348.1333333333333,138.33333333333334,0.0,15
flee,low,patchy,250.0,38.666666666666664,352.26666666666665,142.26666666666668,0.0,15
flee,low,mixed,250.0,40.0,344.8,134.8,0.0,15
flee,medium,uniform,250.0,54.5,304.4,94.4,0.0,15
flee,medium,patchy,250.0,60.666666666666664,257.06666666666666,47.06666666666667,0.0,15
flee,medium,mixed,250.0,63.5,261.6666666666667,51.666666666666664,0.0,15
flee,high,uniform,249.93333333333334,77.83333333333333,236.26666666666668,26.333333333333332,0.0,15
flee,high,patchy,250.0,81.5,233.4,23.4,0.0,15
flee,high,mixed,250.0,80.0,239.46666666666667,29.466666666666665,0.0,15
adaptive-dmas,low,uniform,215.4,7.666666666666667,323.1333333333333,147.73333333333332,13.333333333333334,15
adaptive-dmas,low,patchy,173.33333333333334,4.0,352.8,219.46666666666667,20.0,15
adaptive-dmas,low,mixed,162.0,3.0,313.26666666666665,191.26666666666668,20.0,15
adaptive-dmas,medium,uniform,151.26666666666668,3.3333333333333335,237.0,125.73333333333333,33.33333333333333,15
adaptive-dmas,medium,patchy,78.6,0.5,133.66666666666666,95.06666666666666,53.333333333333336,15
adaptive-dmas,medium,mixed,109.4,1.5,183.26666666666668,113.86666666666666,40.0,15
adaptive-dmas,high,uniform,112.2,2.1666666666666665,144.66666666666666,72.46666666666667,46.666666666666664,15
adaptive-dmas,high,patchy,135.66666666666666,3.1666666666666665,194.93333333333334,99.26666666666667,26.666666666666668,15
adaptive-dmas,high,mixed,110.2,2.5,142.93333333333334,72.73333333333333,40.0,15
