cover,arrangement,pred_speed,share_hide,share_flee,share_still,share_seek-cover,count octopuses
low,uniform,0.6,0.0,1.0,0.0,0.0,250.0
low,uniform,0.8,0.0,1.0,0.0,0.0,247.0
low,uniform,1.0,0.0,1.0,0.0,0.0,213.33333333333334
low,patchy,0.6,0.0002,0.959,0.0,0.040799999999999996,250.0
low,patchy,0.8,0.0,0.9105669999145519,0.0,0.08943300008544817,232.05
low,patchy,1.0,0.03713080168776371,0.46534225792057116,0.0,0.49752694039166506,115.06666666666666
low,mixed,0.6,0.0,0.9823999999999999,0.0002,0.017400000000000002,250.0
low,mixed,0.8,0.0,0.9336140350877193,0.0,0.0663859649122807,229.0
low,mixed,1.0,0.0,0.8181818181818182,0.0,0.18181818181818182,205.54545454545453
medium,uniform,0.6,0.0004,0.9948,0.0046,0.0002,250.0
medium,uniform,0.8,0.0,1.0,0.0,0.0,250.0
medium,uniform,1.0,0.0,1.0,0.0,0.0,244.0
medium,patchy,0.6,0.0004,0.9846,0.0,0.015,250.0
medium,patchy,0.8,0.0,0.9922000000000001,0.0,0.0078,249.95
medium,patchy,1.0,0.0002,0.8859996771589993,0.0,0.1138003228410008,194.35
medium,mixed,0.6,0.0021999999999999997,0.9823999999999999,0.0006000000000000001,0.014800000000000002,250.0
medium,mixed,0.8,0.0,0.967,0.0,0.033,250.0
medium,mixed,1.0,0.0,0.9359999999999999,0.0,0.064,222.33333333333334
high,uniform,0.6,0.03020080321285141,0.9527983935742972,0.0,0.017000803212851405,249.95
high,uniform,0.8,0.022402409638554215,0.946356626506024,0.0,0.03124096385542168,249.95
high,uniform,1.0,0.0184,0.9663983935742971,0.0,0.01520160642570281,249.95
high,patchy,0.6,0.012199999999999999,0.9587999999999999,0.0,0.028999999999999998,250.0
high,patchy,0.8,0.009600000000000001,0.9776,0.0,0.0128,250.0
high,patchy,1.0,0.021487553648068664,0.9747124463519313,0.0,0.0038000000000000004,249.15
high,mixed,0.6,0.0328,0.9446,0.0004,0.0222,250.0
high,mixed,0.8,0.0092,0.9736,0.0,0.0172,250.0
high,mixed,1.0,0.010284136546184736,0.9811158634538153,0.0,0.0086,249.45
