strategy,cover,arrangement,n,survival_mean,ci_lo,ci_hi,survival_median,mean_survival_ticks,extinction_pct,predator_efficiency
still,low,uniform,270,0.08333333333333333,0.037037037037037035,0.1388888888888889,0.0,79.21944444444445,96.66666666666667,88.11845979420212
still,low,patchy,270,0.2222222222222222,0.1388888888888889,0.3148148148148148,0.0,74.11416666666666,91.11111111111111,89.18903333721742
still,low,mixed,270,0.3611111111111111,0.24074074074074073,0.5,0.0,74.70222222222222,88.88888888888889,89.41962499348595
still,medium,uniform,270,1.5833333333333333,1.2314814814814814,1.9537037037037037,0.0,106.42972222222221,67.77777777777779,95.10561029178832
still,medium,patchy,270,2.0,1.5740740740740742,2.4537037037037037,0.0,110.9788888888889,64.44444444444444,95.7237825871549
still,medium,mixed,270,2.638888888888889,2.1203703703703702,3.185185185185185,0.0,113.10777777777777,56.666666666666664,95.27274669025668
still,high,uniform,270,9.527777777777779,8.685185185185185,10.425925925925926,7.5,186.8797222222222,7.777777777777778,98.33300732401676
still,high,patchy,270,12.055555555555555,11.148148148148149,12.972222222222221,10.0,196.85111111111112,3.3333333333333335,98.95835095558851
still,high,mixed,270,10.305555555555555,9.416666666666666,11.212962962962964,10.0,192.48777777777778,13.333333333333334,98.35031099602506
hide,low,uniform,270,0.4444444444444444,0.3055555555555556,0.6018518518518519,0.0,88.95361111111112,86.66666666666667,90.66521420818378
hide,low,patchy,270,1.6666666666666667,1.4074074074074074,1.9351851851851851,0.0,88.62777777777778,54.44444444444444,91.74730488068418
hide,low,mixed,270,1.2222222222222223,0.9907407407407407,1.4722222222222223,0.0,88.06111111111112,65.55555555555556,91.14829160466137
hide,medium,uniform,270,11.61111111111111,10.75925925925926,12.481481481481481,12.5,193.05027777777778,6.666666666666667,96.80366189801288
hide,medium,patchy,270,12.36111111111111,11.47199074074074,13.24074074074074,12.5,189.98083333333332,3.3333333333333335,96.60131758910312
hide,medium,mixed,270,10.722222222222221,9.916666666666666,11.564814814814815,10.0,188.47000000000003,1.1111111111111112,96.52543097467863
hide,high,uniform,270,48.77777777777778,47.416666666666664,50.148148148148145,50.0,345.86805555555554,0.0,95.90325232541056
hide,high,patchy,270,49.30555555555556,48.05532407407408,50.55555555555556,47.5,351.8186111111111,0.0,97.94878566293235
hide,high,mixed,270,48.583333333333336,47.425925925925924,49.75,50.0,349.72222222222223,0.0,97.93869019193468
flee,low,uniform,270,52.666666666666664,48.04606481481482,57.22222222222222,57.5,341.57759259259257,13.703703703703704,27.07402418422404
flee,low,patchy,270,52.55555555555556,48.10162037037038,57.11157407407407,56.25,338.45861111111117,15.925925925925927,26.70182927497825
flee,low,mixed,270,52.26851851851852,47.69444444444444,56.76851851851852,55.0,337.6978703703704,16.296296296296298,27.085835817874433
flee,medium,uniform,270,64.83333333333333,60.72199074074074,68.95370370370371,77.5,376.84490740740745,6.666666666666667,38.29644734195806
flee,medium,patchy,270,65.25,61.342592592592595,69.02777777777777,75.0,378.06861111111107,4.444444444444445,36.68766026351471
flee,medium,mixed,270,65.3425925925926,61.398148148148145,69.14814814814815,75.0,378.865462962963,3.3333333333333335,36.82289578167566
flee,high,uniform,270,82.28703703703704,79.63865740740741,84.78703703703704,90.0,442.29972222222216,0.3703703703703704,50.866895549245754
flee,high,patchy,270,85.72222222222223,83.54629629629629,87.77777777777777,92.5,448.86361111111114,0.0,49.858767903591136
flee,high,mixed,270,84.46296296296296,82.01851851851852,86.82430555555555,92.5,447.9003703703704,0.0,49.80927159855983
adaptive-dmas,low,uniform,270,42.5,37.76851851851852,47.25,30.0,305.43509259259264,22.962962962962962,35.322629545833884
adaptive-dmas,low,patchy,270,42.101851851851855,37.378935185185185,46.879861111111104,22.5,300.53777777777776,7.777777777777778,33.12371746904789
adaptive-dmas,low,mixed,270,41.416666666666664,36.638888888888886,46.1761574074074,22.5,298.6780555555556,11.851851851851853,33.182607581701156
adaptive-dmas,medium,uniform,270,43.24074074074074,38.81481481481482,47.842592592592595,25.0,312.9368518518518,1.8518518518518516,43.4264434758425
adaptive-dmas,medium,patchy,270,41.46296296296296,36.879629629629626,46.25925925925926,22.5,301.3467592592593,3.3333333333333335,41.4489402678418
adaptive-dmas,medium,mixed,270,42.00925925925926,37.398148148148145,46.73171296296296,22.5,304.28,3.3333333333333335,39.84826031653014
adaptive-dmas,high,uniform,270,46.666666666666664,42.444212962962965,50.870370370370374,28.75,329.38925925925923,0.7407407407407408,57.43359917596282
adaptive-dmas,high,patchy,270,46.75925925925926,42.48125,50.97222222222222,27.5,332.0572222222222,0.0,57.03977737030746
adaptive-dmas,high,mixed,270,46.9537037037037,42.71296296296296,51.139120370370364,27.5,332.92250000000007,0.0,57.85923871026089
