cover,arrangement,strategy_a,strategy_b,n,statistic,p,median_diff,cliffs_delta,magnitude,p_holm
low,uniform,hide,still,270,93.0,1.1117263107484158e-05,0.0,0.10111111111111115,negligible,4.446905242993663e-05
low,uniform,flee,still,270,0.0,4.979809547331974e-40,57.5,0.8567901234567901,large,1.2947504823063133e-38
low,uniform,flee,hide,270,126.5,8.204042015903976e-41,56.25,0.8348971193415637,large,2.4612126047711926e-39
low,uniform,adaptive-dmas,still,270,0.0,6.33154431769556e-36,30.0,0.7612345679012347,large,1.0763625340082454e-34
low,uniform,adaptive-dmas,hide,270,99.0,1.813206673476794e-36,30.0,0.7302880658436215,large,3.2637720122582295e-35
low,uniform,adaptive-dmas,flee,270,3458.0,9.491600674413306e-15,-2.5,-0.14773662551440325,small,7.593280539530645e-14
low,patchy,hide,still,270,528.0,1.035740784535201e-18,0.0,0.38049382716049385,medium,9.321667060816809e-18
low,patchy,flee,still,270,4.5,3.538789936251071e-39,55.0,0.8242798353909464,large,8.139216853377463e-38
low,patchy,flee,hide,270,272.5,4.9818725143326075e-40,53.75,0.7453909465020576,large,1.2947504823063133e-38
low,patchy,adaptive-dmas,still,270,11.5,9.644458126733234e-43,22.5,0.908724279835391,large,3.4720049256239643e-41
low,patchy,adaptive-dmas,hide,270,230.5,2.8874805409986704e-41,21.25,0.8276954732510289,large,9.528685785295611e-40
low,patchy,adaptive-dmas,flee,270,6113.5,2.397761113934712e-10,-2.5,-0.10828532235939647,negligible,1.2286205777036618e-09
low,mixed,hide,still,270,682.5,2.0477009628394364e-10,0.0,0.2340740740740741,small,1.2286205777036618e-09
low,mixed,flee,still,270,0.0,7.277600893963117e-39,55.0,0.8144855967078188,large,1.601072196671886e-37
low,mixed,flee,hide,270,183.0,7.804862501822364e-40,52.5,0.7648559670781894,large,1.873167000437367e-38
low,mixed,adaptive-dmas,still,270,0.0,1.1274272797109369e-40,22.5,0.8557201646090535,large,3.269539111161717e-39
low,mixed,adaptive-dmas,hide,270,192.5,1.840012610796499e-40,20.0,0.7976131687242798,large,4.9680340491505474e-39
low,mixed,adaptive-dmas,flee,270,4790.0,1.0761543979662305e-11,-1.25,-0.1163786008230453,negligible,7.533080785763614e-11
medium,uniform,hide,still,270,84.0,2.5026714566251735e-41,10.0,0.8222222222222222,large,8.50908295252559e-40
medium,uniform,flee,still,270,34.0,2.850673833674753e-43,76.25,0.8923456790123456,large,1.1117627951331538e-41
medium,uniform,flee,hide,270,670.0,4.085625102464028e-41,67.5,0.7244032921810699,large,1.307400032788489e-39
medium,uniform,adaptive-dmas,still,270,7.0,6.841918431956724e-45,22.5,0.9288477366255143,large,3.2841208473392277e-43
medium,uniform,adaptive-dmas,hide,270,2036.5,7.916845005986743e-34,15.0,0.535514403292181,large,1.1875267508980116e-32
medium,uniform,adaptive-dmas,flee,270,3324.0,6.572394361923072e-22,-5.0,-0.24455418381344307,small,6.572394361923072e-21
medium,patchy,hide,still,270,565.5,6.752370897626004e-41,10.0,0.815432098765432,large,2.093234978264061e-39
medium,patchy,flee,still,270,12.0,1.58683667456446e-44,72.5,0.9260082304526749,large,7.458132370452963e-43
medium,patchy,flee,hide,270,410.0,2.0912969763512425e-43,62.5,0.8041975308641975,large,8.36518790540497e-42
medium,patchy,adaptive-dmas,still,270,36.0,4.320973699529626e-44,20.0,0.8716460905349794,large,1.9012284277930355e-42
medium,patchy,adaptive-dmas,hide,270,3527.5,2.0569182960488472e-26,10.0,0.3897942386831277,medium,2.262610125653732e-25
medium,patchy,adaptive-dmas,flee,270,1552.0,7.875384821110775e-32,-15.0,-0.3275720164609054,small,1.0238000267444008e-30
medium,mixed,hide,still,270,1444.5,7.564600129917865e-38,7.5,0.750246913580247,large,1.5885660272827516e-36
medium,mixed,flee,still,270,43.0,3.325355472538267e-44,72.5,0.9211934156378601,large,1.529663517367603e-42
medium,mixed,flee,hide,270,332.0,8.820567017920387e-44,65.0,0.8001234567901234,large,3.616432477347359e-42
medium,mixed,adaptive-dmas,still,270,55.5,7.946338353897773e-44,20.0,0.8537860082304527,large,3.3374621086370644e-42
medium,mixed,adaptive-dmas,hide,270,2274.5,5.782781937090061e-32,12.5,0.49427983539094655,large,8.095894711926086e-31
medium,mixed,adaptive-dmas,flee,270,1806.5,2.2233685284473494e-29,-11.25,-0.30522633744855965,small,2.6680422341368193e-28
high,uniform,hide,still,270,0.0,4.16433101117725e-46,37.5,0.9964197530864198,large,2.1772734025798778e-44
high,uniform,flee,still,270,12.0,4.945715346691989e-46,80.0,0.9728395061728394,large,2.4728576733459946e-44
high,uniform,flee,hide,270,1112.0,1.1443365957379594e-40,37.5,0.7949794238683128,large,3.269539111161717e-39
high,uniform,adaptive-dmas,still,270,262.0,3.9299781011673166e-44,20.0,0.796008230452675,large,1.7684901455252926e-42
high,uniform,adaptive-dmas,hide,270,17775.5,0.8454175683517103,-17.5,-0.2758024691358024,small,1.0
high,uniform,adaptive-dmas,flee,270,655.5,1.6078468913420958e-35,-43.75,-0.4576268861454047,medium,2.5725550261473533e-34
high,patchy,hide,still,270,0.0,4.1080630237356185e-46,37.5,0.9959259259259259,large,2.1772734025798778e-44
high,patchy,flee,still,270,1.0,6.3054056121411424e-46,77.5,0.9872016460905351,large,3.0896487499491597e-44
high,patchy,flee,hide,270,579.0,3.848935925604199e-43,40.0,0.8766666666666667,large,1.4625956517295958e-41
high,patchy,adaptive-dmas,still,270,364.0,3.881884041157139e-43,17.5,0.7279012345679012,large,1.4625956517295958e-41
high,patchy,adaptive-dmas,hide,270,18168.0,0.9227351024278175,-17.5,-0.28423868312757206,small,1.0
high,patchy,adaptive-dmas,flee,270,606.0,2.1284427523383965e-37,-50.0,-0.507366255144033,large,4.044041229442953e-36
high,mixed,hide,still,270,0.0,3.974378350209278e-46,37.5,0.9992592592592593,large,2.1461643091130104e-44
high,mixed,flee,still,270,1.5,4.476906439333138e-46,80.0,0.984485596707819,large,2.2832222840599e-44
high,mixed,flee,hide,270,707.5,1.5241342278378314e-42,42.5,0.8330041152263374,large,5.33446979743241e-41
high,mixed,adaptive-dmas,still,270,213.5,4.927962691308781e-44,20.0,0.7971604938271606,large,2.119023957262776e-42
high,mixed,adaptive-dmas,hide,270,17258.0,0.5467463858711833,-17.5,-0.2821399176954732,small,1.0
high,mixed,adaptive-dmas,flee,270,623.0,1.7342354930112558e-37,-47.5,-0.4963786008230453,large,3.4684709860225115e-36
