cover,prey_speed,pred_speed,mean,std,count
low,0.4,0.6,-49.138888888888886,21.965118897692378,90
low,0.4,0.8,-14.88888888888889,19.982123721328573,90
low,0.4,1.0,-2.6944444444444446,9.482596253682956,90
low,0.6,0.6,-95.25,2.9757918406117905,90
low,0.6,0.8,-44.47222222222222,25.07991285300065,90
low,0.6,1.0,-17.916666666666668,22.16907072092138,90
low,0.8,0.6,-91.41666666666667,11.951740506034902,90
low,0.8,0.8,-93.77777777777777,4.1604823018215376,90
low,0.8,1.0,-52.916666666666664,20.903906682884458,90
medium,0.4,0.6,-50.25,20.53378279701663,90
medium,0.4,0.8,-22.055555555555557,22.565689930676633,90
medium,0.4,1.0,-9.722222222222221,20.05065370773147,90
medium,0.6,0.6,-79.25,7.309855591189535,90
medium,0.6,0.8,-57.083333333333336,20.252097963176862,90
medium,0.6,1.0,-36.416666666666664,27.86668201081956,90
medium,0.8,0.6,-80.38888888888889,8.002028456942517,90
medium,0.8,0.8,-84.02777777777777,7.13724253204964,90
medium,0.8,1.0,-63.0,19.52454519748256,90
high,0.4,0.6,-27.666666666666668,15.514581760105917,90
high,0.4,0.8,-19.555555555555557,23.495689832374065,90
high,0.4,1.0,-18.97222222222222,26.21190238168371,90
high,0.6,0.6,-38.52777777777778,9.016950676399658,90
high,0.6,0.8,-41.0,10.040647725200454,90
high,0.6,1.0,-35.75,23.43545403054905,90
high,0.8,0.6,-40.388888888888886,8.699986367604513,90
high,0.8,0.8,-48.0,9.966235131514269,90
high,0.8,1.0,-47.55555555555556,13.840878317839458,90
